2017-07-17 15:11:52 TRACE root:10 - Trace msg
2017-07-17 15:11:52 DEBUG root:11 - Debug msg
2017-07-17 15:11:52 INFO  root:12 - Info msg
2017-07-17 23:43:09 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:44:05 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:05 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:44:16 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:47 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:56 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:44:56 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:45:22 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:45:22 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:46:09 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:46:09 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:46:14 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:46:14 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:49:10 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:49:10 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:49:19 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:49:19 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:51:10 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:51:11 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:52:07 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:52:07 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:52:21 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:52:45 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:52:45 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:53:13 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:53:13 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:53:24 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:53:24 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:53:49 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:53:49 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:54:06 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:54:06 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:54:53 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:54:53 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:54:58 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:54:58 WARN  root:13 - Reached end of file for apps.txt
2017-07-17 23:59:37 WARN  root:13 - Reached end of file for users.txt
2017-07-17 23:59:37 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:01:37 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:01:37 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:02:38 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:02:38 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:02:47 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:03:18 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:03:18 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:03:36 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:03:36 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:04:40 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:04:40 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 00:04:46 WARN  root:13 - Reached end of file for users.txt
2017-07-18 00:04:46 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 09:36:43 WARN  root:13 - Reached end of file for users.txt
2017-07-18 09:36:43 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 09:37:06 WARN  root:13 - Reached end of file for users.txt
2017-07-18 09:37:06 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:10:55 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:10:55 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:11:33 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:11:33 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:12:19 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:12:19 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:12:30 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:12:41 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:12:41 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:12:58 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:12:58 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:13:38 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:13:38 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:13:46 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:13:46 WARN  root:13 - Reached end of file for apps.txt
2017-07-18 11:13:58 WARN  root:13 - Reached end of file for users.txt
2017-07-18 11:13:58 WARN  root:13 - Reached end of file for apps.txt
